strategy_id,strategy_name,regime,sector_confirmation,sample_size,avg_fwd_5d_return,avg_fwd_10d_return,avg_fwd_15d_return,avg_excess_5d_return,avg_excess_10d_return,avg_excess_15d_return,win_rate_5d,win_rate_10d,win_rate_15d
breakout-confirmation,Breakout Confirmation,Defensive,Confirmed,185,-0.0018177168479843052,-0.0036093713619027856,-0.0037985202802687397,0.001408226592640872,-0.0017178280827888127,-0.004057014879221731,0.4648648648648649,0.4648648648648649,0.4486486486486487
breakout-confirmation,Breakout Confirmation,Defensive,Unavailable,145,-0.004467143134247124,-0.002416338150791742,-0.00651573705882944,0.0007978754186840476,-0.0011555237828113345,-0.0029587468297513036,0.43448275862068964,0.46206896551724136,0.47586206896551725
breakout-confirmation,Breakout Confirmation,Defensive,Unconfirmed,127,0.004691439884989444,-0.0009618437330298567,0.004899485910321994,0.0002882420712632781,-0.0045054696090615475,-0.003633218128477647,0.5118110236220472,0.5354330708661418,0.5433070866141733
breakout-confirmation,Breakout Confirmation,Neutral,Confirmed,68,0.006147573616682108,0.004808930340725048,0.0077055865670741484,-7.340862486617544e-06,-0.002475901047147579,-0.01273815829896116,0.6323529411764706,0.6617647058823529,0.6470588235294118
breakout-confirmation,Breakout Confirmation,Neutral,Unavailable,20,0.013597969875638782,0.011045367994571714,0.022568636977834282,0.008665944730855097,0.006759872181837334,0.011756768452339144,0.6,0.5,0.6
breakout-confirmation,Breakout Confirmation,Neutral,Unconfirmed,50,-0.0033623539491458732,-0.011672251786530106,-0.011354554055058495,-0.002817650185438505,0.003527549314134648,-0.004979267430386618,0.52,0.44,0.48
breakout-confirmation,Breakout Confirmation,Risk-on,Confirmed,1599,0.003841120458979639,0.011736400662720055,0.016403494859569708,0.0017170867485406755,0.00660399054507836,0.009646508295950578,0.5453408380237649,0.5778611632270169,0.5791119449656035
breakout-confirmation,Breakout Confirmation,Risk-on,Unavailable,426,0.00152808632077093,0.006198611891434796,0.009262162108175265,0.0004302212099234063,0.002577813617441894,0.0057263249651047145,0.5258215962441315,0.568075117370892,0.5915492957746479
breakout-confirmation,Breakout Confirmation,Risk-on,Unconfirmed,118,0.0010861384846072386,0.009816328299881326,0.010487971759750806,0.0002316198891436243,0.003676587670134423,0.0028348366465646376,0.4491525423728814,0.5338983050847458,0.5932203389830508
breakout-confirmation,Breakout Confirmation,Selective risk-on,Confirmed,293,0.004343478771761215,0.004701743615311215,0.012616060134726981,0.003750067075603958,0.00410879380048832,0.0048739156245196265,0.5597269624573379,0.5733788395904437,0.5972696245733788
breakout-confirmation,Breakout Confirmation,Selective risk-on,Unavailable,105,0.003064343171869942,0.0060947116938284635,0.0029190434365500063,0.0060083071129107,0.002949609720404898,0.00360319996375149,0.5428571428571428,0.5619047619047619,0.49523809523809526
breakout-confirmation,Breakout Confirmation,Selective risk-on,Unconfirmed,33,-0.0070050538005362335,-0.004839475115094187,-0.021652775732275857,-0.007449991405119301,-0.006558034162732818,-0.022488388320457298,0.3333333333333333,0.3939393939393939,0.36363636363636365
