signal_date,holding_end_date,selected_tickers,selected_strategies,portfolio_return_1w,spy_return_1w,excess_return_1w
2025-08-08,2025-08-15,"NVDA,VOO","strong-stock-constructive-pullback,broad-market-trend-hold",-0.0011810101166717657,0.009824554815879738,-0.011005564932551504
2025-08-15,2025-08-22,"VOO,NVDA","broad-market-trend-hold,wait-for-confirmation",-0.005430114715358703,0.002906246285733216,-0.008336361001091919
2025-08-22,2025-08-29,"TSLA,VOO","strong-stock-constructive-pullback,broad-market-trend-hold",-0.009138744933241127,-0.00040292226466143166,-0.008735822668579696
2025-08-29,2025-09-08,"VOO,TSLA","broad-market-trend-hold,wait-for-confirmation",0.021648026169719725,0.005860056380759371,0.015787969788960354
2025-09-05,2025-09-12,"TSLA,VOO","strong-stock-constructive-pullback,broad-market-trend-hold",0.07224122788440068,0.015712846955691973,0.05652838092870871
2025-09-12,2025-09-19,"VOO,TSLA","broad-market-trend-hold,extended-strength-wait",0.044120458190319845,0.009567909401211772,0.03455254878910807
2025-09-19,2025-09-26,"VOO,TSLA","broad-market-trend-hold,extended-strength-wait",0.015492418316683021,-0.0028326123975210837,0.018325030714204105
2025-09-26,2025-10-03,"VOO,TSLA","broad-market-trend-hold,extended-strength-wait",-0.007788440460583801,0.01116620012488867,-0.01895464058547247
2025-10-03,2025-10-10,"NVDA,TSLA","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.030893214938466695,-0.02419270768492432,-0.006700507253542376
2025-10-10,2025-10-17,NVDA,wait-for-confirmation,0.0003275691056681129,0.017411403597318742,-0.01708383449165063
2025-10-17,2025-10-24,TSLA,wait-for-confirmation,-0.012724491518418146,0.019356078610494043,-0.03208057012891219
2025-10-24,2025-10-31,"VOO,NVDA","broad-market-trend-hold,wait-for-confirmation",0.047174289627787136,0.007102248148532775,0.04007204147925436
2025-10-31,2025-11-07,"CRM,TSLA","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.06903137199877274,-0.0162596060393001,-0.05277176595947264
2025-11-28,2025-12-05,VOO,broad-market-trend-hold,0.0032940395803404687,0.003365556627501931,-7.151704716146234e-05
2025-12-05,2025-12-12,VOO,broad-market-trend-hold,-0.0057257731623430175,-0.005731442287022492,5.669124679474891e-06
2025-12-12,2025-12-19,VOO,broad-market-trend-hold,0.001100710588767706,-0.001716121352671407,0.002816831941439113
2025-12-19,2025-12-29,"CRM,VOO","strong-stock-constructive-pullback,broad-market-trend-hold",0.016173603436844597,0.010667139458407693,0.005506463978436904
2025-12-26,2026-01-05,"CRM,TSLA","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.04320103801233588,-0.0037519764520705934,-0.039449061560265286
2026-01-09,2026-01-16,VOO,broad-market-trend-hold,-0.0034778880349922714,-0.0034723214578579187,-5.566577134352713e-06
2026-01-16,2026-01-26,"VOO,NVDA","broad-market-trend-hold,wait-for-confirmation",0.0014304315136438595,0.0015470135120789763,-0.00011658199843511685
2026-01-23,2026-01-30,"VOO,NVDA","broad-market-trend-hold,wait-for-confirmation",0.011103653650847978,0.003975436809222188,0.00712821684162579
2026-01-30,2026-02-06,"VOO,NVDA","broad-market-trend-hold,wait-for-confirmation",-0.015733798651279607,-0.0019509164314829297,-0.013782882219796677
2026-02-06,2026-02-13,"VOO,NVDA","broad-market-trend-hold,wait-for-confirmation",-0.013583804382635511,-0.0128435249194927,-0.0007402794631428122
2026-02-20,2026-02-27,"VOO,NVDA","broad-market-trend-hold,wait-for-confirmation",-0.03561848732843692,-0.004989632708108704,-0.030628854620328216
2026-04-24,2026-05-01,"VOO,NVDA","broad-market-trend-hold,extended-strength-wait",-0.018928740530269716,0.009398579642141414,-0.02832732017241113
2026-05-01,2026-05-08,"VOO,NVDA","broad-market-trend-hold,wait-for-confirmation",0.053914888944096684,0.02354814421455509,0.030366744729541595
2026-05-08,2026-05-15,"NVDA,VOO","strong-stock-constructive-pullback,broad-market-trend-hold",0.024545441100238374,0.0021013364648858612,0.022444104635352513
2026-05-15,2026-05-22,"VOO,NVDA","broad-market-trend-hold,extended-strength-wait",-0.017459181230010612,0.009213033153460115,-0.026672214383470727
