signal_date,holding_end_date,selected_tickers,selected_strategies,portfolio_return_1w,spy_return_1w,excess_return_1w
2023-07-14,2023-07-21,"TSLA,V","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.04599579795320824,0.006454758512205672,-0.05245055646541391
2023-07-21,2023-07-28,"PLTR,JPM","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.04832096445854539,0.010482597259343418,0.03783836719920197
2023-07-28,2023-08-04,"NVDA,JPM","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.024975052806923193,-0.022126445706103004,-0.0028486071008201885
2023-08-04,2023-08-11,"CAT,XLE","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.0330226974409068,-0.0025961900325590648,0.035618887473465866
2023-08-11,2023-08-18,"ABBV,CAT","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.02672222472325325,-0.020531794057669694,-0.006190430665583557
2023-08-18,2023-08-25,"XOM,XLE","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.015002013066691355,0.007949601880190338,-0.022951614946881693
2023-08-25,2023-09-01,"V,MA","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.027155665444701715,0.025501741458674676,0.0016539239860270394
2023-09-01,2023-09-11,"LLY,MA","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.03585599807732198,-0.006072807951303827,0.04192880602862581
2023-09-08,2023-09-15,"NOW,GOOGL","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.013333495536153595,-0.004825807931186699,-0.008507687604966896
2023-09-15,2023-09-22,"UBER,XOM","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.04026374939805838,-0.02920806963049072,-0.011055679767567661
2023-09-22,2023-09-29,"ABBV,XOM","strong-stock-constructive-pullback,wait-for-confirmation",-0.0005623909493451817,-0.006830543073480633,0.006268152124135451
2023-09-29,2023-10-06,"XOM,COST","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.05084342752752541,0.0048189330627195215,-0.05566236059024493
2023-10-06,2023-10-13,"META,GOOGL","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.001972525723048957,0.004563000922120475,-0.006535526645169432
2023-10-13,2023-10-20,"META,PANW","strong-stock-constructive-pullback,extended-strength-wait",-0.04101539515874186,-0.023893389475304172,-0.01712200568343769
2023-10-20,2023-10-27,"LLY,GOOGL","strong-stock-constructive-pullback,wait-for-confirmation",-0.070396799394918,-0.024953132089328367,-0.04544366730558963
2023-10-27,2023-11-03,MSFT,wait-for-confirmation,0.06970677179150897,0.0584640357305648,0.01124273606094417
2023-11-03,2023-11-10,"MSFT,AVGO","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.06630239440180519,0.013618861434371743,0.052683532967433444
2023-11-10,2023-11-17,"NFLX,NOW","extended-strength-wait,extended-strength-wait",0.03631133751099269,0.02310438603709075,0.01320695147390194
2023-11-17,2023-11-27,"MSFT,QQQ","strong-stock-constructive-pullback,broad-market-trend-hold",0.01589660093527845,0.00818563493303004,0.0077109660022484094
2023-11-24,2023-12-01,"AMZN,META","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.01883567393722524,0.008346185838851383,-0.027181859776076622
2023-12-01,2023-12-08,"GE,PLTR","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.06946342520243692,0.0023960054212408544,-0.07185943062367778
2023-12-08,2023-12-15,"NOW,JPM","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.020563707289661892,0.019839144117899332,0.00072456317176256
2023-12-15,2023-12-22,"UBER,JPM","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.005354171304147004,0.009204626697240759,-0.0038504553930937546
2023-12-22,2024-01-02,"CRM,ABBV","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.0034191670737125923,-0.0021112636184653644,-0.001307903455247228
2023-12-29,2024-01-08,"GS,JPM","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.009648705818708914,-0.0014937439959710197,0.011142449814679933
2024-01-05,2024-01-12,"GS,ABBV","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.010441903858204982,0.0187211040277504,-0.029163007885955383
2024-01-12,2024-01-22,"GOOGL,GE","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.017254460399351412,0.014202441124594678,0.0030520192747567343
2024-01-19,2024-01-26,"ABBV,GOOGL","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.018722789660420736,0.010322764052679734,0.008400025607741002
2024-01-26,2024-02-02,"LLY,MSFT","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.031237402083413857,0.014238530988825104,0.016998871094588752
2024-02-02,2024-02-09,"PANW,AVGO","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.07027233548846168,0.013856591522082962,0.05641574396637872
2024-02-09,2024-02-16,"NOW,MSFT","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.04909083123247859,-0.003371912211183714,-0.04571891902129488
2024-02-16,2024-02-26,"NFLX,CAT","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.00855777732023999,0.012972673904553922,-0.004414896584313932
2024-02-23,2024-03-01,"AMZN,COST","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.017027935711173225,0.009845366589210425,0.007182569121962801
2024-03-01,2024-03-08,"META,LLY","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.009139652336637383,-0.0022033234260045997,-0.006936328910632783
2024-03-08,2024-03-15,"JPM,META","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.01606759453052775,-0.0036934547094678027,-0.012374139821059948
2024-03-15,2024-03-22,"WMT,CAT","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.01761881682070765,0.02232123590238766,-0.004702419081680009
2024-03-22,2024-04-01,"CAT,XOM","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.0232805813986372,0.0018225880774120906,0.02145799332122511
2024-04-05,2024-04-12,"GOOGL,XLE","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.007206639224558609,-0.014621041759453224,0.021827680984011832
2024-04-12,2024-04-19,"GOOGL,AVGO","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.06338123149239783,-0.030713521100021124,-0.0326677103923767
2024-04-19,2024-04-26,"XOM,GOOGL","strong-stock-constructive-pullback,wait-for-confirmation",0.04994514706970982,0.026456107130282014,0.023489039939427803
