ticker,date,strategy_id,strategy_name,action_label,refined_score,fwd_1w_return
AAPL,2021-03-19,no-action,No actionable setup,No action,0,0.01016752431388701
ABBV,2021-03-19,no-action,No actionable setup,No action,1,0.024753483207438087
ABT,2021-03-19,wait-for-confirmation,Breakout confirmation,Wait for confirmation,5,0.015135132597290823
ACN,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,7,0.06440969866176394
ADBE,2021-03-19,no-action,No actionable setup,No action,0,0.062491497934067164
AMAT,2021-03-19,no-action,No actionable setup,No action,4,0.11997212873125274
AMD,2021-03-19,no-action,No actionable setup,No action,0,-0.020870148588880477
AMGN,2021-03-19,trend-hold,Trend hold / monitor,Hold,6,0.028136936245635624
AMT,2021-03-19,trend-hold,Trend hold / monitor,Hold,4,0.07644463475709484
AMZN,2021-03-19,no-action,No actionable setup,No action,1,-0.007457005135654171
AVGO,2021-03-19,no-action,No actionable setup,No action,4,0.015976045057906285
AXP,2021-03-19,no-action,No actionable setup,No action,6,0.021462503514856568
BA,2021-03-19,extended-strength-wait,"Extended strength, wait for pullback",Buy on pullback,6,-0.04280358022644226
BAC,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,8,0.0038931100605044122
BKNG,2021-03-19,no-action,No actionable setup,No action,3,0.015644287733570295
BLK,2021-03-19,trend-hold,Trend hold / monitor,Hold,6,0.03736090293616878
BMY,2021-03-19,trend-hold,Trend hold / monitor,Hold,7,0.019776680202250763
BNY,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,7,0.02459553919904023
BRK-B,2021-03-19,no-action,No actionable setup,No action,6,0.023028739766552953
C,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,7,0.00013689229617175336
CAT,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,7,0.018687055969326627
CL,2021-03-19,no-action,No actionable setup,No action,0,0.05654838188770839
CMCSA,2021-03-19,wait-for-confirmation,Breakout confirmation,Wait for confirmation,7,-0.0050487347632308666
COF,2021-03-19,no-action,No actionable setup,No action,6,0.02499403642400755
COP,2021-03-19,no-action,No actionable setup,No action,5,0.04638788045985809
COST,2021-03-19,no-action,No actionable setup,No action,0,
CRM,2021-03-19,no-action,No actionable setup,No action,0,-0.014655988006965437
CSCO,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,8,0.0732952263401343
CVS,2021-03-19,trend-hold,Trend hold / monitor,Hold,6,0.03798850461469949
CVX,2021-03-19,no-action,No actionable setup,No action,6,0.03965956870230114
DE,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,8,-0.0005101010411353579
DHR,2021-03-19,no-action,No actionable setup,No action,2,0.02356831652979885
DIS,2021-03-19,no-action,No actionable setup,No action,6,-0.027309831732613365
DUK,2021-03-19,trend-hold,Trend hold / monitor,Hold,7,0.033541852560471375
EMR,2021-03-19,no-action,No actionable setup,No action,6,0.03480621432262154
FDX,2021-03-19,extended-strength-wait,"Extended strength, wait for pullback",Buy on pullback,7,0.006295192253219728
GD,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,8,0.022069577056113676
GE,2021-03-19,wait-for-confirmation,Breakout confirmation,Wait for confirmation,8,-0.01739793656338673
GEV,2021-03-19,no-action,No actionable setup,No action,0,
GILD,2021-03-19,trend-hold,Trend hold / monitor,Hold,5,0.012100508693379197
GM,2021-03-19,extended-strength-wait,"Extended strength, wait for pullback",Buy on pullback,7,-0.055165484016979516
GOOG,2021-03-19,no-action,No actionable setup,No action,3,-0.003744198419215805
GOOGL,2021-03-19,no-action,No actionable setup,No action,3,-0.0011001299695081457
GS,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,7,-0.04883787612559054
HD,2021-03-19,trend-hold,Trend hold / monitor,Hold,6,0.050882017103144106
HON,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,7,0.026396133237979846
IBM,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,8,0.05802950078382607
INTC,2021-03-19,wait-for-confirmation,Breakout confirmation,Wait for confirmation,7,0.017409103736973464
INTU,2021-03-19,no-action,No actionable setup,No action,2,-0.012326930922363588
ISRG,2021-03-19,no-action,No actionable setup,No action,0,0.03287676019088526
JNJ,2021-03-19,trend-hold,Trend hold / monitor,Hold,3,0.03055485875274755
JPM,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,7,-0.0003223092171878994
KO,2021-03-19,wait-for-confirmation,Breakout confirmation,Wait for confirmation,7,0.04388898803314256
LIN,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,8,0.045630198432299984
LLY,2021-03-19,no-action,No actionable setup,No action,1,0.005534778390692496
LMT,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,8,0.02714953088689631
LOW,2021-03-19,trend-hold,Trend hold / monitor,Hold,5,0.06752462391366465
LRCX,2021-03-19,no-action,No actionable setup,No action,3,0.07729898804410218
MA,2021-03-19,no-action,No actionable setup,No action,6,0.027011877981051313
MCD,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,8,0.012452815330239897
MDLZ,2021-03-19,trend-hold,Trend hold / monitor,Hold,7,0.023063686536665795
MDT,2021-03-19,no-action,No actionable setup,No action,5,0.01663518064072922
META,2021-03-19,extended-strength-wait,"Extended strength, wait for pullback",Buy on pullback,7,-0.02443899450513154
MMM,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,8,0.03269564648924406
MO,2021-03-19,extended-strength-wait,"Extended strength, wait for pullback",Buy on pullback,7,0.038575683330768884
MRK,2021-03-19,trend-hold,Trend hold / monitor,Hold,7,-0.0015481621505919474
MS,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,7,-0.0356884373926053
MSFT,2021-03-19,no-action,No actionable setup,No action,2,0.026611632131968488
MU,2021-03-19,wait-for-confirmation,Breakout confirmation,Wait for confirmation,5,-0.027842273925350103
NEE,2021-03-19,no-action,No actionable setup,No action,0,0.045454565036176175
NFLX,2021-03-19,no-action,No actionable setup,No action,0,-0.00806353648172109
NKE,2021-03-19,no-action,No actionable setup,No action,1,-0.03272965175802356
NOW,2021-03-19,no-action,No actionable setup,No action,0,0.0513125559638552
NVDA,2021-03-19,no-action,No actionable setup,No action,0,-0.0005060229425277729
ORCL,2021-03-19,no-action,No actionable setup,No action,6,0.0602172915051542
PEP,2021-03-19,trend-hold,Trend hold / monitor,Hold,5,0.060966520061280116
PFE,2021-03-19,trend-hold,Trend hold / monitor,Hold,7,0.020264600209405792
PG,2021-03-19,trend-hold,Trend hold / monitor,Hold,4,0.058120480905176075
PLTR,2021-03-19,no-action,No actionable setup,No action,-1,-0.07154604411810384
PM,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,8,0.014901981300332379
QCOM,2021-03-19,no-action,No actionable setup,No action,1,0.015035881212508873
QQQ,2021-03-19,no-action,No actionable setup,No action,1,0.009133247805373612
RTX,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,7,-0.0024247376202949367
SBUX,2021-03-19,no-action,No actionable setup,No action,6,0.03347757485975955
SCHW,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,7,-0.005147675269881913
SO,2021-03-19,trend-hold,Trend hold / monitor,Hold,5,0.03283080501548974
SPG,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,7,-0.01731085980116609
T,2021-03-19,wait-for-confirmation,Breakout confirmation,Wait for confirmation,6,0.018481238226159658
TMO,2021-03-19,no-action,No actionable setup,No action,0,0.03381943655805664
TMUS,2021-03-19,trend-hold,Trend hold / monitor,Hold,5,-0.009662650407007534
TSLA,2021-03-19,no-action,No actionable setup,No action,-1,-0.055217049972483445
TXN,2021-03-19,trend-hold,Trend hold / monitor,Hold,4,0.06943971768031365
UBER,2021-03-19,no-action,No actionable setup,No action,3,-0.04152071952619696
UNH,2021-03-19,extended-strength-wait,"Extended strength, wait for pullback",Buy on pullback,7,0.029815703305486663
UNP,2021-03-19,wait-for-confirmation,Breakout confirmation,Wait for confirmation,6,0.05749523217137553
UPS,2021-03-19,no-action,No actionable setup,No action,2,0.054554603601472795
USB,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,8,0.018112661050219803
V,2021-03-19,no-action,No actionable setup,No action,4,0.03204449047074198
VZ,2021-03-19,trend-hold,Trend hold / monitor,Hold,4,0.034494995889229774
WFC,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,7,0.003280273780324361
WMT,2021-03-19,no-action,No actionable setup,No action,1,0.025732440542453716
XLE,2021-03-19,no-action,No actionable setup,No action,6,0.01817083682737919
XLF,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,7,0.004383334477816803
XLI,2021-03-19,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,7,0.019176930141098225
XLK,2021-03-19,no-action,No actionable setup,No action,1,0.02368820926580506
XLV,2021-03-19,trend-hold,Trend hold / monitor,Hold,5,0.01694618018087901
XLY,2021-03-19,trend-hold,Trend hold / monitor,Hold,2,-0.0023430423358296038
XOM,2021-03-19,no-action,No actionable setup,No action,6,0.021596696225111067
AAPL,2021-03-26,no-action,No actionable setup,No action,1,0.0386931975648126
ABBV,2021-03-26,no-action,No actionable setup,No action,2,0.0015096813327697411
ABT,2021-03-26,no-action,No actionable setup,No action,5,-0.01810435889241968
ACN,2021-03-26,extended-strength-wait,"Extended strength, wait for pullback",Buy on pullback,7,0.0012822448382225904
ADBE,2021-03-26,no-action,No actionable setup,No action,5,0.04802916061989149
AMAT,2021-03-26,extended-strength-wait,"Extended strength, wait for pullback",Buy on pullback,7,0.11201806382524704
AMD,2021-03-26,no-action,No actionable setup,No action,0,0.051931229206673146
AMGN,2021-03-26,trend-hold,Trend hold / monitor,Hold,6,-0.003321981870849533
AMT,2021-03-26,trend-hold,Trend hold / monitor,Hold,6,0.024830384783175896
AMZN,2021-03-26,no-action,No actionable setup,No action,1,0.05724059413900284
AVGO,2021-03-26,trend-hold,Trend hold / monitor,Hold,5,0.013359908435867318
AXP,2021-03-26,wait-for-confirmation,Breakout confirmation,Wait for confirmation,7,0.016210964310272136
BA,2021-03-26,wait-for-confirmation,Breakout confirmation,Wait for confirmation,7,0.05917421702663295
BAC,2021-03-26,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,8,0.028955504732374626
BKNG,2021-03-26,wait-for-confirmation,Breakout confirmation,Wait for confirmation,5,0.03686204280762362
BLK,2021-03-26,trend-hold,Trend hold / monitor,Hold,7,0.03583035307494131
BMY,2021-03-26,trend-hold,Trend hold / monitor,Hold,6,-0.012198917673593046
BNY,2021-03-26,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,8,0.013476508044400148
BRK-B,2021-03-26,wait-for-confirmation,Breakout confirmation,Wait for confirmation,7,0.02293887487031787
C,2021-03-26,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,8,-0.003697571288399204
CAT,2021-03-26,wait-for-confirmation,Breakout confirmation,Wait for confirmation,7,0.018344255833844025
CL,2021-03-26,trend-hold,Trend hold / monitor,Hold,6,0.003913122365778676
CMCSA,2021-03-26,no-action,No actionable setup,No action,5,-0.006886507140328013
COF,2021-03-26,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,8,0.023227176870788346
COP,2021-03-26,no-action,No actionable setup,No action,6,-0.051417183575233505
COST,2021-03-26,no-action,No actionable setup,No action,0,
CRM,2021-03-26,no-action,No actionable setup,No action,0,0.053565436627311946
CSCO,2021-03-26,extended-strength-wait,"Extended strength, wait for pullback",Buy on pullback,7,-0.0030435580814329732
CVS,2021-03-26,trend-hold,Trend hold / monitor,Hold,7,-0.012111613744521188
CVX,2021-03-26,wait-for-confirmation,Breakout confirmation,Wait for confirmation,8,-0.027633058503356622
DE,2021-03-26,wait-for-confirmation,Breakout confirmation,Wait for confirmation,6,0.006768887039222848
DHR,2021-03-26,trend-hold,Trend hold / monitor,Hold,4,0.0011490076126605686
DIS,2021-03-26,no-action,No actionable setup,No action,3,0.013876946301980109
DUK,2021-03-26,strong-stock-constructive-pullback,Constructive pullback continuation,Buy now,8,0.011478643985214365
