variant_id,variant_name,action_role,extension_band,sample_size,avg_fwd_15d_return,avg_excess_15d_return,win_rate_15d
baseline_current_v1,Current v1 Pullback,live_buy_pullback,0-2%,1149,0.0037087678057477775,-0.0018274217362765598,0.504786771105309
baseline_current_v1,Current v1 Pullback,live_buy_pullback,2-4%,1128,0.005774165260819574,0.0004394177374972114,0.5301418439716312
baseline_current_v1,Current v1 Pullback,live_buy_pullback,4-6%,888,0.012836956529653156,0.003296710939152837,0.5574324324324325
baseline_current_v1,Current v1 Pullback,live_buy_pullback,-2% to 0%,461,-6.339531066516636e-05,-0.003038987789906864,0.4945770065075922
baseline_current_v1,Current v1 Pullback,live_buy_pullback,<-2%,81,-0.0019982682604745795,0.004359083031861761,0.4567901234567901
deeper_controlled_confirmed,Deeper Controlled Confirmed Pullback,live_buy_pullback,2-4%,68,0.0017289240563735375,-0.005167642220048528,0.4852941176470588
deeper_controlled_confirmed,Deeper Controlled Confirmed Pullback,live_buy_pullback,0-2%,61,0.011840405945592975,0.006378237475352288,0.5409836065573771
deeper_controlled_confirmed,Deeper Controlled Confirmed Pullback,live_buy_pullback,-2% to 0%,42,0.0024444998741814015,-0.0038636314358291212,0.47619047619047616
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,2-4%,334,0.01190887357148968,0.008176925690730825,0.5389221556886228
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,0-2%,249,0.010325600637241928,0.010073707677222078,0.5220883534136547
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,2-4%,318,0.011719241202996732,0.007754366473488982,0.5377358490566038
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,0-2%,220,0.007006829170346772,0.007991254262500481,0.5045454545454545
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,-2% to 0%,55,0.013790282270057425,0.005671363083023705,0.509090909090909
shallow_confirmed_reset,Shallow Confirmed Reset,live_buy_pullback,4-6%,1157,0.010254954285311632,0.004259689824588122,0.5445116681071738
shallow_confirmed_reset,Shallow Confirmed Reset,live_buy_pullback,2-4%,898,0.0067325121034804754,0.0021089069892417972,0.5434298440979956
shallow_confirmed_reset,Shallow Confirmed Reset,live_buy_pullback,0-2%,307,0.0056251735007034915,0.001984357158381878,0.504885993485342
strict_rs_support_proximity,Strict RS + Support-Proximity Pullback,live_buy_pullback,2-4%,94,0.034062119312707424,0.026355613653940756,0.6595744680851063
strict_rs_support_proximity,Strict RS + Support-Proximity Pullback,live_buy_pullback,0-2%,85,0.015769472070521543,0.010467503445594223,0.49411764705882355
strict_rs_support_proximity,Strict RS + Support-Proximity Pullback,live_buy_pullback,-2% to 0%,7,0.03803613353332617,0.026703766614398234,0.5714285714285714
supportive_confirmed_controlled,Supportive + Confirmed Controlled Pullback,live_buy_pullback,2-4%,369,0.010175441806629304,0.006303312166164793,0.5311653116531165
supportive_confirmed_controlled,Supportive + Confirmed Controlled Pullback,live_buy_pullback,0-2%,261,0.0048048692164409,0.005369274526647148,0.4942528735632184
supportive_confirmed_controlled,Supportive + Confirmed Controlled Pullback,live_buy_pullback,-2% to 0%,71,0.017096613587485723,0.011471230037970166,0.4647887323943662
watch_only_extended_strength,Watch-Only Extended Strength,watch_only,6%+,1045,0.01666459350718069,0.00922360837344968,0.5885167464114832
