action_label,observations,avg_fwd_1w_return,avg_fwd_2w_return,avg_fwd_3w_return,win_rate_1w,variant
Buy now,3531,0.0019106276576944907,0.0033074348040579267,0.004091532680502139,0.5358255451713395,baseline
Buy on pullback,1783,0.005203382645282615,0.009700547687109113,0.014253483566911512,0.5344924284913067,baseline
Hold,4208,0.004736629511863213,0.006301866929957343,0.010818589241351772,0.5544201520912547,baseline
No action,15490,0.0028572432884284432,0.006707627026708845,0.010063147324153724,0.5043899289864429,baseline
Wait for confirmation,4472,0.0010381475323578493,0.0023209221596804915,0.0036152072558501332,0.524597495527728,baseline
Buy now,614,-0.0020600841804301775,-0.0019650289717187924,-0.0011646479918721172,0.504885993485342,strict_rs_entry
Buy on pullback,1578,0.0028488449947129944,0.004864349417222207,0.00615059222069705,0.5361216730038023,strict_rs_entry
Hold,5142,0.0037270325602881647,0.0043993737280794915,0.008035065835168713,0.543757292882147,strict_rs_entry
No action,17395,0.0026964350041039243,0.006378492666411969,0.009641083797106079,0.506812302385743,strict_rs_entry
Wait for confirmation,4755,0.00325777630037919,0.006215966164563494,0.008225546102148965,0.540273396424816,strict_rs_entry
Buy now,171,0.001341864488773198,0.003542623268626193,0.0030494918891170505,0.5497076023391813,regime_gated
Buy on pullback,999,0.004541204312336895,0.008027411645541958,0.01021895752859694,0.5405405405405406,regime_gated
Hold,2495,0.003735957977284571,0.006010004022806541,0.006873327394635204,0.5531062124248497,regime_gated
No action,20297,0.0028433316247554125,0.0059289240928780745,0.009483851561905305,0.5114548948120412,regime_gated
Wait for confirmation,5522,0.0023660752298344484,0.00460618151048731,0.006633389367084951,0.5327779789931184,regime_gated
Buy on pullback,756,0.0019560844303955272,0.004875387367941123,0.007507347939135953,0.533068783068783,rr_selective
No action,26425,0.002752093394293666,0.0054615815949659655,0.008454615196640092,0.5183349101229896,rr_selective
Wait for confirmation,2303,0.004604724532221435,0.009185702886318163,0.011918791802800099,0.5371254884932697,rr_selective
Buy on pullback,1,-0.023950183209619058,0.02762253732607811,-0.022353528692364066,0.0,pullback_only
No action,26525,0.0027078427816627105,0.005387021587194522,0.008395049874281198,0.518114985862394,pullback_only
Wait for confirmation,2958,0.004391793604662713,0.008869664849837278,0.011451897828801351,0.5388776200135227,pullback_only
