variant,portfolio_label,observations,avg_fwd_1w_return,avg_fwd_2w_return,avg_fwd_3w_return
regime_gated,top2,131,0.004108440938689126,0.007297256026344407,0.0071797370234741075
rr_selective,top2,129,0.0032437700278529096,0.005772667240677899,0.006266984790449721
strict_rs_entry,top2,259,0.0013712232071483757,0.0025655923218273714,0.003129418897778767
baseline,top2,261,0.0012047311313492849,0.001520119246048116,0.0027167655676532576
pullback_only,top2,1,-0.023950183209619058,0.02762253732607811,-0.022353528692364066
regime_gated,top5,131,0.004761918164916175,0.008574843471968697,0.009611679048107122
rr_selective,top5,129,0.0034503723302015373,0.00705284843657213,0.011404591062182674
strict_rs_entry,top5,259,0.0015669445587433773,0.0028475738375848434,0.003477246900386967
baseline,top5,261,0.0013229470994835348,0.002960809814040869,0.0038714779846452715
pullback_only,top5,1,-0.023950183209619058,0.02762253732607811,-0.022353528692364066
