action_label,observations,avg_fwd_1w_return,avg_fwd_2w_return,avg_fwd_3w_return,win_rate_1w,variant
Buy now,232,0.0028619173886035177,0.006555444791892707,0.008174429181773748,0.5474137931034483,baseline
Buy on pullback,1024,0.005463370282374249,0.008646789724492,0.011359661789063424,0.5556640625,baseline
Hold,4775,0.00429286634836205,0.005743793307106779,0.00891691091537102,0.5562303664921466,baseline
No action,19117,0.002122355441422477,0.005281816269714557,0.00847212065242399,0.5033739603494272,baseline
Wait for confirmation,4336,0.0039701267072633755,0.006991011995620891,0.008867028014565091,0.5447416974169742,baseline
Buy now,614,-0.0020600841804301775,-0.0019650289717187924,-0.0011646479918721172,0.504885993485342,strict_rs_entry
Buy on pullback,1578,0.0028488449947129944,0.004864349417222207,0.00615059222069705,0.5361216730038023,strict_rs_entry
Hold,5142,0.0037270325602881647,0.0043993737280794915,0.008035065835168713,0.543757292882147,strict_rs_entry
No action,17395,0.0026964350041039243,0.006378492666411969,0.009641083797106079,0.506812302385743,strict_rs_entry
Wait for confirmation,4755,0.00325777630037919,0.006215966164563494,0.008225546102148965,0.540273396424816,strict_rs_entry
Buy now,171,0.001341864488773198,0.003542623268626193,0.0030494918891170505,0.5497076023391813,regime_gated
Buy on pullback,999,0.004541204312336895,0.008027411645541958,0.01021895752859694,0.5405405405405406,regime_gated
Hold,2495,0.003735957977284571,0.006010004022806541,0.006873327394635204,0.5531062124248497,regime_gated
No action,20297,0.0028433316247554125,0.0059289240928780745,0.009483851561905305,0.5114548948120412,regime_gated
Wait for confirmation,5522,0.0023660752298344484,0.00460618151048731,0.006633389367084951,0.5327779789931184,regime_gated
Buy on pullback,756,0.0019560844303955272,0.004875387367941123,0.007507347939135953,0.533068783068783,rr_selective
No action,26425,0.002752093394293666,0.0054615815949659655,0.008454615196640092,0.5183349101229896,rr_selective
Wait for confirmation,2303,0.004604724532221435,0.009185702886318163,0.011918791802800099,0.5371254884932697,rr_selective
Buy on pullback,1,-0.023950183209619058,0.02762253732607811,-0.022353528692364066,0.0,pullback_only
No action,26525,0.0027078427816627105,0.005387021587194522,0.008395049874281198,0.518114985862394,pullback_only
Wait for confirmation,2958,0.004391793604662713,0.008869664849837278,0.011451897828801351,0.5388776200135227,pullback_only
Buy now,104,0.004738538972694149,0.007891360541274442,0.008003954215498465,0.5288461538461539,sector_filtered_pullback
Buy on pullback,981,0.0037405008385235244,0.006030596845088677,0.008300686665261195,0.5412844036697247,sector_filtered_pullback
No action,26960,0.0027847883692978716,0.00554138101329163,0.008534284153909222,0.5191023738872403,sector_filtered_pullback
Wait for confirmation,1439,0.0038837421950663363,0.00908876601623356,0.012164009658504428,0.5253648366921473,sector_filtered_pullback
Buy now,445,0.0031865845760940315,0.008765762592980276,0.010717739734709162,0.5303370786516854,near_high_continuation
No action,27469,0.0027441565806128796,0.005394990506957153,0.008309125847091519,0.5187302049583167,near_high_continuation
Wait for confirmation,1570,0.00510776216707576,0.010871427523509234,0.01497873478305597,0.5426751592356688,near_high_continuation
Buy now,158,0.00472834109671041,0.006146937228655149,0.005618639633636343,0.5443037974683544,etf_rotation_top
No action,28917,0.0029072663055557412,0.005786827452366258,0.008789131065451145,0.519867206141716,etf_rotation_top
Wait for confirmation,409,0.0001375341578618707,0.002402363518681,0.0038808311281030433,0.5330073349633252,etf_rotation_top
