date,ticker,open,high,low,close,adj_close,volume,sector,is_benchmark,ret_5d,ret_10d,ret_20d,ret_60d,ma_20,ma_50,ma_20_prev,ma_50_prev,low_10,high_10,high_20,atr_14,atr_pct,high_252,distance_from_52w_high,volume_ratio_20d,extension_vs_ma20,extension_vs_ma50,close_above_ma20,days_above_ma20_15,benchmark_close,benchmark_ma_20,benchmark_ma_50,benchmark_ret_5d,benchmark_ret_10d,benchmark_ret_20d,benchmark_ret_60d,qqq_close,qqq_ma_20,qqq_ma_50,qqq_ma_20_prev,rs_5d,rs_10d,rs_20d,rs_60d,ma_20_slope_5d,ma_50_slope_5d,spy_above_ma20,spy_above_ma50,qqq_above_ma20,qqq_above_ma50,qqq_ma20_slope_5d,sector_close,sector_ret_10d,sector_ret_20d,sector_ret_60d,sector_ma_20,sector_ma_50,stock_vs_sector_20d,stock_vs_sector_60d,sector_above_ma20,sector_above_ma50,trend_score,momentum_score,rs_score,proximity_score,risk_penalty,extension_penalty,refined_score,next_earnings_date,days_to_earnings,event_risk,strategy_id,strategy_name,basis_type,sleeve,action_label,horizon,entry_label,entry_value,stop_label,stop_value,target_label,target_value,strategy_rationale,observed_reason,action_rank
2026-05-29,AAPL,311.7799987792969,315.0,309.5299987792969,312.05999755859375,312.05999755859375,70026800,Technology,False,0.023181112661388337,0.04644380302596929,0.15002760471487853,0.18870947210934808,297.54149932861327,275.284599609375,287.45799865722654,269.4905993652344,294.9100036621094,315.0,315.0,4.965717860630581,0.01591270236326332,312.510009765625,0.0014399929377262135,1.4272448899729988,0.04879486815365489,0.13359046601735997,1,15.0,756.47998046875,739.3355010986328,703.6470007324219,0.01852651107872938,0.011107098317778563,0.05262573224822242,0.10414078361396761,738.3099975585938,709.039501953125,652.9311999511718,692.2290008544921,0.004654601582658957,0.035336704708190725,0.0974018724666561,0.08456868849538046,0.03507817044051231,0.021499823213826152,1,1,1,1,0.02428459523926585,,,,,,,,,0.0,0.0,3,2,2,1,0,0,8,2026-07-30,62.0,Low,trend-hold,Trend hold / monitor,Decision basis,Single-name sleeve,Hold,1-2 weeks,Keep only if close >,$295,Do not add,Yet,Need first,Cleaner catalyst,"The stock is still functioning, but the timing case for fresh money is not strong enough yet.","Price is above near-term support, though the edge for a new position remains modest.",4
2026-05-29,ABBV,219.02000427246097,219.6000061035156,214.8999938964844,217.72000122070312,217.72000122070312,7618500,Healthcare,False,0.015011660702578755,0.03297431706296283,0.03028579251686825,-0.07819975879497754,210.05000076293945,208.22679992675782,206.47100219726562,208.50739959716796,207.67999267578125,220.0099945068359,220.0099945068359,5.175715855189726,0.023772349008684298,244.3800048828125,0.1090924098921008,1.3706627613677662,0.036515117495381354,0.0455906794768227,1,13.0,756.47998046875,739.3355010986328,703.6470007324219,0.01852651107872938,0.011107098317778563,0.05262573224822242,0.10414078361396761,738.3099975585938,709.039501953125,652.9311999511718,692.2290008544921,-0.0035148503761506245,0.02186721874518427,-0.022339939731354175,-0.18234054240894515,0.01733414633331609,-0.0013457540161752046,1,1,1,1,0.02428459523926585,,,,,,,,,0.0,0.0,3,2,0,0,0,0,5,2026-07-30,62.0,Low,no-action,No actionable setup,Decision basis,Single-name sleeve,No action,Wait this week,Stand aside,No fresh entry,Reassess if close <,$207,Need first,Cleaner setup,"The chart is missing either strong relative strength, clean support, or acceptable timing.",Setup quality is not yet strong enough to justify fresh capital.,6
2026-05-29,AMD,520.7999877929688,522.0,503.4299926757813,516.0999755859375,516.0999755859375,30803200,Semiconductors,False,0.14793474007384533,0.14765390610738338,0.4558943547170746,1.5540652094789191,440.1050033569336,328.14640075683593,399.91100006103517,297.7934002685547,393.3599853515625,527.2000122070312,527.2000122070312,27.66714913504464,0.05360811944165204,518.0900268554688,0.0038411302406452484,0.7741412417217274,0.17267463820985132,0.5727735376515055,1,15.0,756.47998046875,739.3355010986328,703.6470007324219,0.01852651107872938,0.011107098317778563,0.05262573224822242,0.10414078361396761,738.3099975585938,709.039501953125,652.9311999511718,692.2290008544921,0.12940822899511595,0.13654680778960482,0.4032686224688522,1.4499244258649515,0.10050737111448282,0.10192637063450172,1,1,1,1,0.02428459523926585,,,,,,,,,0.0,0.0,3,2,2,1,0,1,7,2026-08-04,67.0,Low,trend-hold,Trend hold / monitor,Decision basis,Single-name sleeve,Hold,1-2 weeks,Keep only if close >,$426,Do not add,Yet,Need first,Cleaner catalyst,"The stock is still functioning, but the timing case for fresh money is not strong enough yet.","Price is above near-term support, though the edge for a new position remains modest.",4
2026-05-29,AMZN,271.2900085449219,274.75,269.6400146484375,270.6400146484375,270.6400146484375,54749600,Consumer Discretionary,False,0.008120477027297346,0.012798493421567247,0.021051901989134425,0.24822435894368255,268.7385009765625,246.66960052490234,266.97899932861327,240.7877996826172,255.19000244140625,274.75,278.55999755859375,6.423564365931919,0.023734717773630613,274.989990234375,0.015818668825836168,1.385558252457897,0.00707570245783599,0.09717619873923317,1,9.0,756.47998046875,739.3355010986328,703.6470007324219,0.01852651107872938,0.011107098317778563,0.05262573224822242,0.10414078361396761,738.3099975585938,709.039501953125,652.9311999511718,692.2290008544921,-0.010406034051432034,0.0016913951037886843,-0.031573830259088,0.14408357532971494,0.00659041217614087,0.024427320861098334,1,1,1,1,0.02428459523926585,,,,,,,,,0.0,0.0,3,2,0,1,0,0,6,2026-07-30,62.0,Low,no-action,No actionable setup,Decision basis,Single-name sleeve,No action,Wait this week,Stand aside,No fresh entry,Reassess if close <,$247,Need first,Cleaner setup,"The chart is missing either strong relative strength, clean support, or acceptable timing.",Setup quality is not yet strong enough to justify fresh capital.,6
2026-05-29,AVGO,432.9500122070313,448.8999938964844,431.4700012207031,446.7699890136719,446.7699890136719,41798400,Semiconductors,False,0.07767079412541977,0.015871166541149506,0.07028722624796879,0.40701663065291926,422.90549926757814,385.6988006591797,419.52100067138673,375.4774011230469,405.8599853515625,448.8999938964844,448.8999938964844,16.182856968470993,0.036221897993188104,446.7699890136719,0.0,2.1360708793845427,0.056429840206439,0.15833906729841593,1,11.0,756.47998046875,739.3355010986328,703.6470007324219,0.01852651107872938,0.011107098317778563,0.05262573224822242,0.10414078361396761,738.3099975585938,709.039501953125,652.9311999511718,692.2290008544921,0.059144283046690393,0.004764068223370943,0.01766149399974637,0.30287584703895165,0.008067530804834577,0.02722240940616083,1,1,1,1,0.02428459523926585,,,,,,,,,0.0,0.0,3,2,1,1,0,0,7,2026-06-03,5.0,High,event-risk-hold,Event freeze before earnings,Risk guardrail,Single-name sleeve,Hold / reassess after earnings,This week only,Do not add,Until earnings on 2026-06-03,If already held,Close < $415,Next action,Re-rank after report,"Even if the stock is stabilizing, the earnings event dominates the next move and makes fresh weekly entries more binary than this system should prefer.",Earnings are close enough that event risk matters more than the current chart.,5
2026-05-29,CAT,886.6900024414062,890.8099975585938,866.1900024414062,875.8699951171875,875.8699951171875,5195400,Industrials,False,0.011455606871432877,-0.04819497185227395,-0.01599801200831452,0.19659279775621563,893.1695007324219,814.6265991210937,878.9544982910156,795.19,845.5499877929688,911.6699829101562,931.3499755859376,27.979278564453132,0.031944556521438586,926.9299926757812,0.05508506355609248,1.974082426319579,-0.019368670337543227,0.07517971554350143,0,8.0,756.47998046875,739.3355010986328,703.6470007324219,0.01852651107872938,0.011107098317778563,0.05262573224822242,0.10414078361396761,738.3099975585938,709.039501953125,652.9311999511718,692.2290008544921,-0.007070904207296502,-0.05930207017005251,-0.06862374425653694,0.09245201414224802,0.01617262607910308,0.02444271069944759,1,1,1,1,0.02428459523926585,,,,,,,,,0.0,0.0,2,1,0,1,0,0,4,2026-08-04,67.0,Low,no-action,No actionable setup,Decision basis,Single-name sleeve,No action,Wait this week,Stand aside,No fresh entry,Reassess if close <,$815,Need first,Cleaner setup,"The chart is missing either strong relative strength, clean support, or acceptable timing.",Setup quality is not yet strong enough to justify fresh capital.,6
2026-05-29,COST,986.5700073242188,998.8200073242188,945.4500122070312,956.3200073242188,956.3200073242188,7028000,Consumer Staples,False,-0.08960916580808587,-0.08156541913640458,-0.05737634204184083,-0.05008242783563033,1024.1884857177733,1007.4289978027343,1025.6874877929688,1007.4927966308594,945.4500122070312,1096.5,1096.5,26.252144949776795,0.027451213766017755,1094.3199462890625,0.12610565989664538,3.0005016490377945,-0.06626561354670074,-0.05073210180567314,0,10.0,756.47998046875,739.3355010986328,703.6470007324219,0.01852651107872938,0.011107098317778563,0.05262573224822242,0.10414078361396761,738.3099975585938,709.039501953125,652.9311999511718,692.2290008544921,-0.10813567688681525,-0.09267251745418315,-0.11000207429006326,-0.15422321144959794,-0.001461460818266369,-6.332435163647343e-05,1,1,1,1,0.02428459523926585,,,,,,,,,0.0,0.0,1,0,0,0,0,0,1,2026-05-28,-1.0,Low,no-action,No actionable setup,Decision basis,Single-name sleeve,No action,Wait this week,Stand aside,No fresh entry,Reassess if close <,$937,Need first,Cleaner setup,"The chart is missing either strong relative strength, clean support, or acceptable timing.",Setup quality is not yet strong enough to justify fresh capital.,6
2026-05-29,CRM,180.2400054931641,194.13999938964844,180.02000427246094,191.1000061035156,191.1000061035156,33998900,Software,False,0.0838863861931971,0.14035090115449766,0.08253558842672737,-0.010254794431126979,179.03050079345704,180.80720123291016,178.704500579834,182.33060089111328,169.0,194.13999938964844,194.13999938964844,8.100001743861602,0.04238619301494931,274.510009765625,0.3038504997807707,2.412385873604629,0.06741591659838367,0.056926963087861576,1,7.0,756.47998046875,739.3355010986328,703.6470007324219,0.01852651107872938,0.011107098317778563,0.05262573224822242,0.10414078361396761,738.3099975585938,709.039501953125,652.9311999511718,692.2290008544921,0.06535987511446772,0.1292438028367191,0.029909856178504945,-0.11439557804509459,0.0018242417654019683,-0.008355150757786811,1,1,1,1,0.02428459523926585,,,,,,,,,0.0,0.0,2,2,1,0,0,1,4,2026-09-02,96.0,Low,trend-hold,Trend hold / monitor,Decision basis,Single-name sleeve,Hold,1-2 weeks,Keep only if close >,$175,Do not add,Yet,Need first,Cleaner catalyst,"The stock is still functioning, but the timing case for fresh money is not strong enough yet.","Price is above near-term support, though the edge for a new position remains modest.",4
2026-05-29,GE,319.3299865722656,325.9200134277344,316.5799865722656,323.760009765625,323.760009765625,9345400,Industrials,False,0.07290561800116335,0.11051656814278554,0.11668339924967586,-0.04723224127683656,298.88199920654296,295.3494000244141,291.5190002441406,294.0358001708984,281.30999755859375,325.9200134277344,325.9200134277344,8.70143563406808,0.026876190300238707,345.739990234375,0.06357372907267657,1.7549387816420041,0.08323689825793104,0.09619321975552499,1,12.0,756.47998046875,739.3355010986328,703.6470007324219,0.01852651107872938,0.011107098317778563,0.05262573224822242,0.10414078361396761,738.3099975585938,709.039501953125,652.9311999511718,692.2290008544921,0.05437910692243397,0.09940946982500698,0.06405766700145343,-0.15137302489080418,0.025257355288115013,0.004467482710446058,1,1,1,1,0.02428459523926585,,,,,,,,,0.0,0.0,3,2,2,1,0,1,7,2026-07-16,48.0,Low,trend-hold,Trend hold / monitor,Decision basis,Single-name sleeve,Hold,1-2 weeks,Keep only if close >,$295,Do not add,Yet,Need first,Cleaner catalyst,"The stock is still functioning, but the timing case for fresh money is not strong enough yet.","Price is above near-term support, though the edge for a new position remains modest.",4
2026-05-29,GOOGL,385.239990234375,385.239990234375,378.4599914550781,380.3399963378906,380.3399963378906,44415800,Communication Services,False,-0.018882544639810206,-0.05168676442457154,-0.011590414751981859,0.25470916838116,391.1490005493164,347.5747998046875,383.5544998168945,339.55179992675784,378.4599914550781,408.6099853515625,408.6099853515625,9.816432407924102,0.02580962428995575,402.6199951171875,0.05533753675798443,1.6243385643541364,-0.027633981414361176,0.09426804403430537,0,11.0,756.47998046875,739.3355010986328,703.6470007324219,0.01852651107872938,0.011107098317778563,0.05262573224822242,0.10414078361396761,738.3099975585938,709.039501953125,652.9311999511718,692.2290008544921,-0.037409055718539586,-0.0627938627423501,-0.06421614700020428,0.15056838476719236,0.019800317128458644,0.023628206004680852,1,1,1,1,0.02428459523926585,,,,,,,,,0.0,0.0,2,0,0,1,0,0,3,2026-07-23,55.0,Low,no-action,No actionable setup,Decision basis,Single-name sleeve,No action,Wait this week,Stand aside,No fresh entry,Reassess if close <,$348,Need first,Cleaner setup,"The chart is missing either strong relative strength, clean support, or acceptable timing.",Setup quality is not yet strong enough to justify fresh capital.,6
