ticker,display_name,sector,is_benchmark,is_active
CHTR,Charter Communications,Communication Services,False,True
CMCSA,Comcast,Communication Services,False,True
DIS,Walt Disney Company (The),Communication Services,False,True
EA,Electronic Arts,Communication Services,False,True
FOX,Fox Corporation (Class B),Communication Services,False,True
FOXA,Fox Corporation (Class A),Communication Services,False,True
GOOG,Alphabet Inc. (Class C),Communication Services,False,True
GOOGL,Alphabet Inc. (Class A),Communication Services,False,True
LYV,Live Nation Entertainment,Communication Services,False,True
META,Meta Platforms,Communication Services,False,True
NFLX,Netflix,Communication Services,False,True
NWS,News Corp (Class B),Communication Services,False,True
NWSA,News Corp (Class A),Communication Services,False,True
OMC,Omnicom Group,Communication Services,False,True
PSKY,Paramount Skydance Corporation,Communication Services,False,True
SATS,EchoStar,Communication Services,False,True
T,AT&T,Communication Services,False,True
TKO,TKO Group Holdings,Communication Services,False,True
TMUS,T-Mobile US,Communication Services,False,True
TTD,Trade Desk (The),Communication Services,False,True
TTWO,Take-Two Interactive,Communication Services,False,True
VZ,Verizon,Communication Services,False,True
WBD,Warner Bros. Discovery,Communication Services,False,True
ABNB,Airbnb,Consumer Discretionary,False,True
AMZN,Amazon,Consumer Discretionary,False,True
APTV,Aptiv,Consumer Discretionary,False,True
AZO,AutoZone,Consumer Discretionary,False,True
BBY,Best Buy,Consumer Discretionary,False,True
BKNG,Booking Holdings,Consumer Discretionary,False,True
CCL,Carnival Corporation,Consumer Discretionary,False,True
CMG,Chipotle Mexican Grill,Consumer Discretionary,False,True
CVNA,Carvana,Consumer Discretionary,False,True
DASH,DoorDash,Consumer Discretionary,False,True
DECK,Deckers Brands,Consumer Discretionary,False,True
DHI,D. R. Horton,Consumer Discretionary,False,True
DPZ,Domino's,Consumer Discretionary,False,True
DRI,Darden Restaurants,Consumer Discretionary,False,True
EBAY,eBay Inc.,Consumer Discretionary,False,True
EXPE,Expedia Group,Consumer Discretionary,False,True
F,Ford Motor Company,Consumer Discretionary,False,True
GM,General Motors,Consumer Discretionary,False,True
GPC,Genuine Parts Company,Consumer Discretionary,False,True
GRMN,Garmin,Consumer Discretionary,False,True
HAS,Hasbro,Consumer Discretionary,False,True
HD,Home Depot (The),Consumer Discretionary,False,True
HLT,Hilton Worldwide,Consumer Discretionary,False,True
LEN,Lennar,Consumer Discretionary,False,True
LOW,Lowe's,Consumer Discretionary,False,True
LULU,Lululemon Athletica,Consumer Discretionary,False,True
LVS,Las Vegas Sands,Consumer Discretionary,False,True
MAR,Marriott International,Consumer Discretionary,False,True
MCD,McDonald's,Consumer Discretionary,False,True
MGM,MGM Resorts,Consumer Discretionary,False,True
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,False,True
NKE,"Nike, Inc.",Consumer Discretionary,False,True
NVR,"NVR, Inc.",Consumer Discretionary,False,True
ORLY,O’Reilly Automotive,Consumer Discretionary,False,True
PHM,PulteGroup,Consumer Discretionary,False,True
POOL,Pool Corporation,Consumer Discretionary,False,True
RCL,Royal Caribbean Group,Consumer Discretionary,False,True
RL,Ralph Lauren Corporation,Consumer Discretionary,False,True
ROST,Ross Stores,Consumer Discretionary,False,True
SBUX,Starbucks,Consumer Discretionary,False,True
TJX,TJX Companies,Consumer Discretionary,False,True
TPR,"Tapestry, Inc.",Consumer Discretionary,False,True
TSCO,Tractor Supply,Consumer Discretionary,False,True
TSLA,"Tesla, Inc.",Consumer Discretionary,False,True
ULTA,Ulta Beauty,Consumer Discretionary,False,True
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,False,True
WYNN,Wynn Resorts,Consumer Discretionary,False,True
YUM,Yum! Brands,Consumer Discretionary,False,True
ADM,Archer Daniels Midland,Consumer Staples,False,True
BF-B,Brown–Forman,Consumer Staples,False,True
BG,Bunge Global,Consumer Staples,False,True
CAG,Conagra Brands,Consumer Staples,False,True
CASY,Casey's,Consumer Staples,False,True
CHD,Church & Dwight,Consumer Staples,False,True
CL,Colgate-Palmolive,Consumer Staples,False,True
CLX,Clorox,Consumer Staples,False,True
COST,Costco,Consumer Staples,False,True
CPB,Campbell's Company (The),Consumer Staples,False,True
DG,Dollar General,Consumer Staples,False,True
DLTR,Dollar Tree,Consumer Staples,False,True
EL,Estée Lauder Companies (The),Consumer Staples,False,True
GIS,General Mills,Consumer Staples,False,True
HRL,Hormel Foods,Consumer Staples,False,True
HSY,Hershey Company (The),Consumer Staples,False,True
KDP,Keurig Dr Pepper,Consumer Staples,False,True
KHC,Kraft Heinz,Consumer Staples,False,True
KMB,Kimberly-Clark,Consumer Staples,False,True
KO,Coca-Cola Company (The),Consumer Staples,False,True
KR,Kroger,Consumer Staples,False,True
KVUE,Kenvue,Consumer Staples,False,True
MDLZ,Mondelez International,Consumer Staples,False,True
MKC,McCormick & Company,Consumer Staples,False,True
MNST,Monster Beverage,Consumer Staples,False,True
MO,Altria,Consumer Staples,False,True
PEP,PepsiCo,Consumer Staples,False,True
PG,Procter & Gamble,Consumer Staples,False,True
PM,Philip Morris International,Consumer Staples,False,True
SJM,J.M. Smucker Company (The),Consumer Staples,False,True
STZ,Constellation Brands,Consumer Staples,False,True
SYY,Sysco,Consumer Staples,False,True
TAP,Molson Coors Beverage Company,Consumer Staples,False,True
TGT,Target Corporation,Consumer Staples,False,True
TSN,Tyson Foods,Consumer Staples,False,True
WMT,Walmart,Consumer Staples,False,True
QQQ,Invesco QQQ Trust,ETF,False,True
XLC,Communication Services Select Sector SPDR Fund,ETF,False,True
XLE,Energy Select Sector SPDR Fund,ETF,False,True
XLF,Financial Select Sector SPDR Fund,ETF,False,True
XLI,Industrial Select Sector SPDR Fund,ETF,False,True
XLK,Technology Select Sector SPDR Fund,ETF,False,True
XLP,Consumer Staples Select Sector SPDR Fund,ETF,False,True
XLRE,Real Estate Select Sector SPDR Fund,ETF,False,True
XLU,Utilities Select Sector SPDR Fund,ETF,False,True
XLV,Health Care Select Sector SPDR Fund,ETF,False,True
XLY,Consumer Discretionary Select Sector SPDR Fund,ETF,False,True
APA,APA Corporation,Energy,False,True
BKR,Baker Hughes,Energy,False,True
COP,ConocoPhillips,Energy,False,True
CVX,Chevron Corporation,Energy,False,True
DVN,Devon Energy,Energy,False,True
EOG,EOG Resources,Energy,False,True
EQT,EQT Corporation,Energy,False,True
EXE,Expand Energy,Energy,False,True
FANG,Diamondback Energy,Energy,False,True
HAL,Halliburton,Energy,False,True
KMI,Kinder Morgan,Energy,False,True
MPC,Marathon Petroleum,Energy,False,True
OKE,Oneok,Energy,False,True
OXY,Occidental Petroleum,Energy,False,True
PSX,Phillips 66,Energy,False,True
SLB,Schlumberger,Energy,False,True
TPL,Texas Pacific Land Corporation,Energy,False,True
TRGP,Targa Resources,Energy,False,True
VLO,Valero Energy,Energy,False,True
WMB,Williams Companies,Energy,False,True
XOM,ExxonMobil,Energy,False,True
ACGL,Arch Capital Group,Financials,False,True
AFL,Aflac,Financials,False,True
AIG,American International Group,Financials,False,True
AIZ,Assurant,Financials,False,True
AJG,Arthur J. Gallagher & Co.,Financials,False,True
ALL,Allstate,Financials,False,True
AMP,Ameriprise Financial,Financials,False,True
AON,Aon plc,Financials,False,True
APO,Apollo Global Management,Financials,False,True
ARES,Ares Management,Financials,False,True
AXP,American Express,Financials,False,True
BAC,Bank of America,Financials,False,True
BEN,Franklin Resources,Financials,False,True
BLK,BlackRock,Financials,False,True
BNY,BNY Mellon,Financials,False,True
BRK-B,Berkshire Hathaway,Financials,False,True
BRO,Brown & Brown,Financials,False,True
BX,Blackstone Inc.,Financials,False,True
C,Citigroup,Financials,False,True
CB,Chubb Limited,Financials,False,True
CBOE,Cboe Global Markets,Financials,False,True
CFG,Citizens Financial Group,Financials,False,True
CINF,Cincinnati Financial,Financials,False,True
CME,CME Group,Financials,False,True
COF,Capital One,Financials,False,True
